input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.23100000000000001:continue_region_v1
1	region-v1: accepted_positive_all_three_shadow
2	region-v2: exact_nlo_success:runtime=0.214:continue_region_v1
2	region-v1: accepted_positive_all_three_shadow
3	region-v2: exact_nlo_success:runtime=0.17399999999999999:continue_region_v1
3	region-v1: accepted_positive_all_three_shadow
4	region-v2: exact_nlo_success:runtime=0.184:continue_region_v1
4	region-v1: accepted_positive_all_three_shadow
5	region-v2: exact_nlo_success:runtime=0.17299999999999999:continue_region_v1
5	region-v1: accepted_positive_all_three_shadow
6	region-v2: exact_nlo_success:runtime=0.154:continue_region_v1
6	region-v1: accepted_positive_all_three_shadow
