input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.28499999999999998:continue_region_v1
1	region-v1: exact fallback: fallback_all_three_outside_certified_region
2	region-v2: exact_nlo_success:runtime=0.28699999999999998:continue_region_v1
2	region-v1: exact fallback: fallback_all_three_outside_certified_region
3	region-v2: exact_nlo_success:runtime=0.26800000000000002:continue_region_v1
3	region-v1: exact fallback: fallback_all_three_outside_certified_region
4	region-v2: exact_nlo_success:runtime=0.32100000000000001:continue_region_v1
4	region-v1: exact fallback: fallback_all_three_outside_certified_region
5	region-v2: exact_nlo_success:runtime=0.30499999999999999:continue_region_v1
5	region-v1: exact fallback: fallback_all_three_outside_certified_region
6	region-v2: exact_nlo_success:runtime=0.30299999999999999:continue_region_v1
6	region-v1: exact fallback: fallback_all_three_outside_certified_region
